,0,Accur,Precision,Recall,F1,Fbeta,Balanced Score,ROC_Score,MMC,FM
0,Amostra 1 - T1,0.9,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8566308243727598,0.9605734767025089,0.7132616487455197,0.8649940262843488
1,Amostra 1 - T2,0.9,0.8571428571428571,0.6666666666666666,0.75,0.8108108108108107,0.8172043010752688,0.9605734767025089,0.6972125160644389,0.8628628628628627
2,Amostra 1 - T3,0.925,0.875,0.7777777777777778,0.823529411764706,0.8536585365853658,0.8727598566308243,0.935483870967742,0.7782896421160245,0.8873007547279773
3,Amostra 1 - T4,0.875,0.7,0.7777777777777778,0.7368421052631577,0.7142857142857143,0.8405017921146953,0.931899641577061,0.6567360733292693,0.8288957159924902
4,Amostra 1 - T5,0.9,0.8571428571428571,0.6666666666666666,0.75,0.8108108108108107,0.8172043010752688,0.960573476702509,0.6972125160644389,0.8628628628628628
5,Amostra 2 - T1,0.875,0.75,0.6666666666666666,0.7058823529411765,0.7317073170731707,0.8010752688172043,0.9211469534050178,0.6286185570937121,0.8179765130984643
6,Amostra 2 - T2,0.85,0.6363636363636364,0.7777777777777778,0.7000000000000001,0.660377358490566,0.8243727598566308,0.921146953405018,0.6067099699809586,0.8019656905840716
7,Amostra 2 - T3,0.9,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.7547169811320754,0.8960573476702509,0.953405017921147,0.740789521357966,0.8680597822411578
8,Amostra 2 - T4,0.9,0.6923076923076923,1.0,0.8181818181818181,0.7377049180327869,0.935483870967742,0.935483870967742,0.7765163665331185,0.869557553322757
9,Amostra 2 - T5,0.9,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.7547169811320754,0.8960573476702509,0.946236559139785,0.740789521357966,0.8656702959807038
10,Amostra 3 - T1,0.875,0.6428571428571429,1.0,0.782608695652174,0.6923076923076923,0.9193548387096775,0.9283154121863799,0.7342823073671614,0.8466593144012499
11,Amostra 3 - T2,0.85,0.6363636363636364,0.7777777777777778,0.7000000000000001,0.660377358490566,0.8243727598566308,0.921146953405018,0.6067099699809586,0.8019656905840716
12,Amostra 3 - T3,0.85,0.6153846153846154,0.8888888888888888,0.7272727272727274,0.6557377049180328,0.8637992831541219,0.921146953405018,0.6486947424124406,0.8135613138257242
13,Amostra 3 - T4,0.875,0.6428571428571429,1.0,0.782608695652174,0.6923076923076923,0.9193548387096775,0.9193548387096775,0.7342823073671614,0.8436724565756825
14,Amostra 3 - T5,0.9,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.7547169811320754,0.8960573476702509,0.953405017921147,0.740789521357966,0.8680597822411578
