,0,Accur,Precision,Recall,F1,Fbeta,Balanced Score,ROC_Score,MMC,FM
0,Geral 1 - T1,0.925,0.9390625,0.925,0.9213793103448275,0.9288961038961038,0.8888888888888888,0.9852150537634408,0.8897465018425231,0.9343333488494778
1,Geral 1 - T2,0.9,0.9028571428571428,0.9,0.8973214285714285,0.8995557201036654,0.8632478632478632,0.9800179211469533,0.8462131047747014,0.9142738348328273
2,Geral 1 - T3,0.9,0.9028571428571428,0.9,0.8973214285714285,0.8995557201036654,0.8632478632478632,0.9789725209080048,0.8462131047747014,0.913925368086511
3,Geral 1 - T4,0.95,0.9566666666666667,0.95,0.9486607142857142,0.9522213994816735,0.9259259259259259,0.9861409796893668,0.9251140935648833,0.9547627683656553
4,Geral 1 - T5,0.925,0.9254464285714284,0.925,0.9241830065359478,0.9246818663838813,0.9002849002849004,0.9886798088410991,0.883458194078741,0.937882191836627
5,Geral 2 - T1,0.575,0.63,0.575,0.58125,0.6050395256916996,0.5982905982905984,0.7491623221461932,0.3831987225003595,0.6508308153761637
6,Geral 2 - T2,0.525,0.5562827797202797,0.525,0.5308592880978866,0.5433901004655721,0.5541310541310541,0.7334439828391441,0.28752605291220035,0.6103217124785901
7,Geral 2 - T3,0.675,0.6799999999999999,0.675,0.6756392615525743,0.67779683453445,0.6980056980056979,0.7996809492777235,0.5014746938701652,0.7251611606059573
8,Geral 2 - T4,0.5,0.5155844155844156,0.5,0.5040235690235689,0.5100229275783008,0.50997150997151,0.7322336265884652,0.2389917079052144,0.5840760213794253
9,Geral 2 - T5,0.65,0.6356220095693781,0.65,0.6411065670934091,0.6373875418028353,0.6652421652421653,0.8003964374932118,0.4549937002036809,0.7010087148460707
10,Geral 3 - T1,0.45,0.21315789473684207,0.45,0.2892857142857143,0.23823529411764702,0.3333333333333333,0.5703350711415227,0.025322380227615165,0.380634566197501
11,Geral 3 - T2,0.675,0.6258928571428571,0.675,0.5837060041407869,0.5686764989396569,0.6737891737891738,0.7626418757467144,0.5394415446674218,0.6683691828251815
12,Geral 3 - T3,0.725,0.7096185064935064,0.725,0.703992673992674,0.7033080527808608,0.7207977207977208,0.8750244379276637,0.5791958012768416,0.7663767371687484
13,Geral 3 - T4,0.675,0.4561813186813187,0.675,0.5442687747035573,0.4877364438839849,0.6666666666666666,0.7662403605951993,0.562337310191825,0.6402144903819503
14,Geral 3 - T5,0.8,0.8009595959595959,0.8,0.7906339712918661,0.7939930689256834,0.772079772079772,0.881983816661236,0.6957187501952001,0.8160188858888971
