,0,Accur,Precision,Recall,F1,Fbeta,Balanced Score,ROC_Score,MMC,FM
0,Geral 1 - T1,0.925,0.9254464285714284,0.925,0.9241830065359478,0.9246818663838813,0.9002849002849004,0.9816308243727597,0.883458194078741,0.9355325303471805
1,Geral 1 - T2,0.925,0.9254464285714284,0.925,0.9241830065359478,0.9246818663838813,0.9002849002849004,0.9808243727598566,0.883458194078741,0.9352637131428794
2,Geral 1 - T3,0.9,0.9028571428571428,0.9,0.8973214285714285,0.8995557201036654,0.8632478632478632,0.9798984468339308,0.8462131047747014,0.9142340100618198
3,Geral 1 - T4,0.875,0.8745300751879699,0.875,0.8714026526526528,0.8723414672767124,0.8376068376068376,0.9781660692951014,0.8050515175571938,0.8960381247262171
4,Geral 1 - T5,0.875,0.8745300751879699,0.875,0.8714026526526528,0.8723414672767124,0.8376068376068376,0.980704898446834,0.8050515175571938,0.8968844011101279
5,Geral 2 - T1,0.575,0.5552010489510489,0.575,0.5571301247771837,0.5544089381791142,0.6210826210826211,0.7189950581079614,0.35772472134895833,0.6314955391232322
6,Geral 2 - T2,0.55,0.5658333333333333,0.55,0.5545881749829117,0.560477194038838,0.5726495726495727,0.780338329531878,0.31312304455037665,0.6378216987400963
7,Geral 2 - T3,0.65,0.638917004048583,0.65,0.6318562068562069,0.6325853582916716,0.6396011396011396,0.7531647116324536,0.469510931508417,0.6751170698417549
8,Geral 2 - T4,0.55,0.5487076648841355,0.55,0.5475714285714286,0.5478693559873111,0.547008547008547,0.7275320408384924,0.30792940328558654,0.6074699812781168
9,Geral 2 - T5,0.7,0.6978609625668448,0.7,0.6939285714285713,0.6952264381884944,0.7094017094017094,0.827670522428587,0.543461611441333,0.7440995566729303
10,Geral 3 - T1,0.675,0.6425,0.675,0.6349624060150376,0.6312196998287223,0.6695156695156695,0.7609101770392093,0.5028761909364762,0.687215182127867
11,Geral 3 - T2,0.4,0.25483870967741934,0.4,0.29772727272727273,0.26861313868613135,0.47863247863247865,0.7442523351797545,0.2061739628302495,0.4971659841661215
12,Geral 3 - T3,0.725,0.7083522727272726,0.725,0.7030513784461152,0.7021188978736149,0.7022792022792023,0.8513576626479853,0.5767434899687108,0.7519185876002675
13,Geral 3 - T4,0.525,0.5795787545787545,0.525,0.4870320855614973,0.5142899393997923,0.6125356125356126,0.7745085261214293,0.3456831719160074,0.6337780260189447
14,Geral 3 - T5,0.75,0.7435064935064937,0.75,0.725,0.7288311090658077,0.7207977207977208,0.882453567937439,0.6232311079174484,0.7773607992669892
